================================================================================
模型文件: flickcd_student_backbone.pth
文件类型: State Dict (Pure Weights)
总层数: 486
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
----------------------------------------------------------------------------------------------------
ucm.gda1.to_qk.weight                                        | [80, 80, 1, 1]            | 6,400
ucm.gda1.to_v.weight                                         | [80, 80, 1, 1]            | 6,400
ucm.gda1.to_out.weight                                       | [80, 80, 1, 1]            | 6,400
ucm.gda2.to_qk.weight                                        | [80, 80, 1, 1]            | 6,400
ucm.gda2.to_v.weight                                         | [80, 80, 1, 1]            | 6,400
ucm.gda2.to_out.weight                                       | [80, 80, 1, 1]            | 6,400
ucm.gda3.to_qk.weight                                        | [80, 80, 1, 1]            | 6,400
ucm.gda3.to_v.weight                                         | [80, 80, 1, 1]            | 6,400
ucm.gda3.to_out.weight                                       | [80, 80, 1, 1]            | 6,400
ucm.mixM1.pixel_mixer.0.weight                               | [40, 1, 3, 3]             | 360
ucm.mixM1.pixel_mixer.0.bias                                 | [40]                      | 40
ucm.mixM1.pixel_mixer.1.weight                               | [40]                      | 40
ucm.mixM1.pixel_mixer.1.bias                                 | [40]                      | 40
ucm.mixM1.pixel_mixer.1.running_mean                         | [40]                      | 40
ucm.mixM1.pixel_mixer.1.running_var                          | [40]                      | 40
ucm.mixM1.pixel_mixer.1.num_batches_tracked                  | []                        | 1
ucm.mixM1.channel_mixer.0.weight                             | [80, 40, 1, 1]            | 3,200
ucm.mixM1.channel_mixer.0.bias                               | [80]                      | 80
ucm.mixM1.channel_mixer.1.weight                             | [80]                      | 80
ucm.mixM1.channel_mixer.1.bias                               | [80]                      | 80
ucm.mixM1.channel_mixer.1.running_mean                       | [80]                      | 80
ucm.mixM1.channel_mixer.1.running_var                        | [80]                      | 80
ucm.mixM1.channel_mixer.1.num_batches_tracked                | []                        | 1
ucm.mixM1.se.fc1.weight                                      | [8, 40, 1, 1]             | 320
ucm.mixM1.se.fc1.bias                                        | [8]                       | 8
ucm.mixM1.se.fc2.weight                                      | [40, 8, 1, 1]             | 320
ucm.mixM1.se.fc2.bias                                        | [40]                      | 40
ucm.mixM2.pixel_mixer.0.weight                               | [80, 1, 3, 3]             | 720
ucm.mixM2.pixel_mixer.0.bias                                 | [80]                      | 80
ucm.mixM2.pixel_mixer.1.weight                               | [80]                      | 80
ucm.mixM2.pixel_mixer.1.bias                                 | [80]                      | 80
ucm.mixM2.pixel_mixer.1.running_mean                         | [80]                      | 80
